Jarak Antar Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
( Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surabaya,Gresik,Sidoarjo,Mojokerto,Jombang,Bojonegoro,Lamongan ,Tuban,Madiun ,Ngawi,Magetan,Ponorogo,Pacitan,Kediri,Nganjuk,Tulungagung,Blitar,Trenggalek ,Malang,Pasuruan ,Probolinggo,Lumajang,Bondowoso,Situbondo,Jember,Banyuwangi,Bangkalan,Sampang,Pamekasan,Sumenep,,
Tulungagung,     154 ,     172 ,     177 ,     105 ,     75 ,     160 ,     162 ,     157 ,     109 ,     121 ,     132 ,     84 ,     149 ,     31 ,     59 , -   ,     33 ,     32 ,     111 ,     66 ,     205 ,     205 ,     297 ,     300 ,     303 ,     394 ,     182 ,     244 ,     277 ,     329 ,,
Blitar,     167 ,     185 ,     144 ,     118 ,     86 ,     173 ,     175 ,     170 ,     122 ,     134 ,     146 ,     117 ,     182 ,     44 ,     72 ,     33 , -   ,     64 ,     78 ,     133 ,     172 ,     172 ,     264 ,     267 ,     270 ,     361 ,     195 ,     257 ,     290 ,     342 ,,
Trenggalek ,     196 ,     204 ,     206 ,     137 ,     107 ,     192 ,     194 ,     189 ,     82 ,     144 ,     106 ,     52 ,     117 ,     63 ,     90 ,     32 ,     64 , -   ,     142 ,     197 ,     236 ,     236 ,     328 ,     331 ,     334 ,     425 ,     214 ,     276 ,     359 ,     361 ,,
Malang,     89 ,     107 ,     66 ,     89 ,     119 ,     197 ,     134 ,     192 ,     178 ,     190 ,     202 ,     195 ,     290 ,     100 ,     26 ,     111 ,     78 ,     142 , -   ,     55 ,     94 ,     117 ,     194 ,     189 ,     192 ,     259 ,     117 ,     179 ,     212 ,     264 ,,
Pasuruan ,     60 ,     78 ,     37 ,     61 ,     91 ,     168 ,     105 ,     163 ,     181 ,     193 ,     205 ,     210 ,     313 ,     155 ,     131 ,     166 ,     133 ,     197 ,     55 , -   ,     39 ,     85 ,     131 ,     134 ,     137 ,     228 ,     86 ,     150 ,     183 ,     235 ,,
Probolinggo,     90 ,     117 ,     76 ,     100 ,     130 ,     207 ,     144 ,     202 ,     220 ,     132 ,     244 ,     240 ,     352 ,     194 ,     170 ,     205 ,     172 ,     236 ,     94 ,     39 , -   ,     46 ,     92 ,     95 ,     96 ,     189 ,     127 ,     189 ,     222 ,     274 ,,
Lumajang,     145 ,     163 ,     122 ,     149 ,     176 ,     253 ,     190 ,     248 ,     266 ,     276 ,     290 ,     221 ,     276 ,     217 ,     216 ,     205 ,     172 ,     236 ,     117 ,     85 ,     46 , -   ,     105 ,     140 ,     172 ,     177 ,     173 ,     235 ,     268 ,     320 ,,
Bondowoso,     191 ,     209 ,     168 ,     192 ,     222 ,     299 ,     236 ,     294 ,     312 ,     324 ,     336 ,     341 ,     390 ,     386 ,     362 ,     297 ,     264 ,     328 ,     186 ,     131 ,     92 ,     105 , -   ,     35 ,     32 ,     126 ,     219 ,     281 ,     314 ,     396 ,,
Situbondo,     194 ,     212 ,     171 ,     195 ,     225 ,     302 ,     239 ,     297 ,     345 ,     327 ,     339 ,     344 ,     421 ,     289 ,     208 ,     300 ,     267 ,     331 ,     167 ,     134 ,     95 ,     140 ,     35 , -   ,     67 ,     94 ,     222 ,     284 ,     317 ,     389 ,,
Jember,     197 ,     215 ,     174 ,     196 ,     228 ,     305 ,     242 ,     300 ,     318 ,     330 ,     342 ,     347 ,     358 ,     292 ,     268 ,     303 ,     270 ,     334 ,     192 ,     137 ,     96 ,     72 ,     32 ,     97 , -   ,     105 ,     225 ,     287 ,     320 ,     372 ,,
Banyuwangi,     288 ,     306 ,     265 ,     289 ,     319 ,     396 ,     333 ,     391 ,     407 ,     421 ,     433 ,     436 ,     462 ,     383 ,     389 ,     394 ,     361 ,     425 ,     239 ,     228 ,     189 ,     177 ,     136 ,     94 ,     105 , -   ,     316 ,     378 ,     411 ,     463 ,,
Bangkalan,     28 ,     46 ,     51 ,     77 ,     107 ,     136 ,     73 ,     131 ,     197 ,     209 ,     221 ,     226 ,     304 ,     151 ,     147 ,     182 ,     195 ,     214 ,     117 ,     86 ,     127 ,     173 ,     219 ,     222 ,     225 ,     316 , -   ,     62 ,     96 ,     147 ,,
Sampang,     90 ,     108 ,     113 ,     139 ,     169 ,     196 ,     135 ,     193 ,     259 ,     271 ,     283 ,     288 ,     366 ,     213 ,     209 ,     144 ,     257 ,     276 ,     179 ,     150 ,     189 ,     235 ,     281 ,     294 ,     287 ,     375 ,     62 , -   ,     33 ,     85 ,,
Pamekasan,     123 ,     141 ,     145 ,     172 ,     202 ,     231 ,     168 ,     226 ,     292 ,     304 ,     316 ,     321 ,     399 ,     246 ,     242 ,     277 ,     290 ,     309 ,     212 ,     183 ,     222 ,     268 ,     314 ,     317 ,     320 ,     411 ,     95 ,     33 , -   ,     52 ,,
Sumenep,     175 ,     193 ,     196 ,     224 ,     254 ,     283 ,     220 ,     278 ,     344 ,     356 ,     368 ,     373 ,     451 ,     286 ,     294 ,     329 ,     342 ,     361 ,     264 ,     235 ,     274 ,     320 ,     396 ,     369 ,     372 ,     463 ,     147 ,     85 ,     52 , -   ,,
Sumber  :  Dinas Pekerjaan Umum Bina Marga Provinsi Jawa Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
